Id,Nombre,Tipo,Localidad,Provincia,Latitud,Longitud,Altura,Id Interno,Ubicacion,Desde,Hasta
461,Tilisarao - EEA San Luis,Nimbus THP,Tilisarao,San Luis,-32.67,-65.23,728.799987792969,A872931,Autopista 55 Km 886.0,01/09/2014,23/09/2020
245,Tornquist - EEA Bordenave,Nimbus THP,Tornquist,Buenos Aires,-38.12,-62.24,280,A872825,Acc. Tornquist a Ruta Nac. 33,24/11/2010,23/09/2020
507,Trancas - EEA Famaillá,Nimbus THP,Famaillá,Tucuman,-26.28,-65.27,771.099975585938,A872877,-,16/12/2015,24/10/2018
367,Trenque Lauquen - EEA Villegas,Nimbus THP,Trenque Lauquen,Buenos Aires,-35.97,-62.77,57,A872906,Uribarri S/N,27/09/2012,23/09/2020
630,Tres bocas,Omixom,Sin asignar,Entre Rios,-32.75,-59.76,0,91092,Gualeguay,31/03/2017,12/01/2019
665,Tres Cerros - EEA Mercedes,Nimbus THP,San Martin,Corrientes,-29.07,-57.04,97,A872897,"Ruta Prov. 114 km 40, 3°Sec San Martín, La Cruz",22/06/2018,18/11/2019
611,Tres Esquinas,Omixom,Sin asignar,Entre Rios,-32.25,-59.93,0,91014,Nogoyá,31/03/2017,04/01/2019
285,Tres Esquinas - EEA Parana,Nimbus THP,Tres Esquinas,Entre Rios,-32.36,-60.35,88,A872715,"Paraje Tres Esquinas.Ruta 11, KM 80,5",11/10/2011,26/03/2017
66,UNR - Zavalla (EMC),Convencional Instr. Completo,Puan,Santa Fe,-33.02,-60.88,50,NH0046,xxxxxxxxxxxxx,01/01/1973,31/08/2019
557,Urdinarrain,Omixom,Sin asignar,Entre Rios,-32.7,-58.86,0,91036,Gualeguaychu,31/03/2017,12/01/2019
386,V Miguel Lanus -EEA Cerro Azul,Nimbus THP,Villa Miguel Lanus,Misiones,-27.43,-55.89,120,A872909,"Ruta Nacional 12 km 7,5, CP: 3304",27/02/2013,22/09/2020
